benchmark	baseline_best3_ns	candidate_best3_ns	delta_percent	verdict
Map/16/mbo::types::CompareLess<int>/IndexOf/After	1.044656	1.393007	+33.346	FAIL
Map/16/mbo::types::CompareLess<int>/IndexOf/Before	2.453425	2.499111	+1.862	FAIL
Map/16/mbo::types::CompareLess<int>/IndexOf/First	3.144750	2.211771	-29.668	PASS
Map/16/mbo::types::CompareLess<int>/IndexOf/Last	1.045750	0.696653	-33.382	PASS
Map/16/mbo::types::CompareLess<int>/IndexOf/MiddleHit	1.739539	1.741952	+0.139	FAIL
Map/16/mbo::types::CompareLess<int>/IndexOf/MiddleMiss	1.738343	1.740511	+0.125	FAIL
Map/16/mbo::types::CompareLess<int>/LowerBound/After	3.832830	1.741174	-54.572	PASS
Map/16/mbo::types::CompareLess<int>/LowerBound/Before	5.102755	7.305625	+43.170	FAIL
Map/16/mbo::types::CompareLess<int>/LowerBound/First	3.130757	6.613200	+111.233	FAIL
Map/16/mbo::types::CompareLess<int>/LowerBound/Last	2.197404	1.739926	-20.819	PASS
Map/16/mbo::types::CompareLess<int>/LowerBound/MiddleHit	2.200213	3.847630	+74.875	FAIL
Map/16/mbo::types::CompareLess<int>/LowerBound/MiddleMiss	2.195110	3.834172	+74.669	FAIL
Map/16/mbo::types::CompareLess<int>/UpperBound/After	3.825512	1.738735	-54.549	PASS
Map/16/mbo::types::CompareLess<int>/UpperBound/Before	4.958432	3.479310	-29.830	PASS
Map/16/mbo::types::CompareLess<int>/UpperBound/First	2.934710	3.131865	+6.718	FAIL
Map/16/mbo::types::CompareLess<int>/UpperBound/Last	2.063488	1.390210	-32.628	PASS
Map/16/mbo::types::CompareLess<int>/UpperBound/MiddleHit	2.196463	2.437722	+10.984	FAIL
Map/16/mbo::types::CompareLess<int>/UpperBound/MiddleMiss	2.183231	2.433779	+11.476	FAIL
Map/16/std::greater<>/IndexOf/After	0.711175	1.046740	+47.185	FAIL
Map/16/std::greater<>/IndexOf/Before	2.499173	3.159655	+26.428	FAIL
Map/16/std::greater<>/IndexOf/First	2.260206	2.262225	+0.089	FAIL
Map/16/std::greater<>/IndexOf/Last	0.735659	1.045052	+42.057	FAIL
Map/16/std::greater<>/IndexOf/MiddleHit	1.740673	1.740228	-0.026	PASS
Map/16/std::greater<>/IndexOf/MiddleMiss	1.623247	1.740629	+7.231	FAIL
Map/16/std::greater<>/LowerBound/After	4.870791	1.741392	-64.248	PASS
Map/16/std::greater<>/LowerBound/Before	5.104206	4.874033	-4.509	PASS
Map/16/std::greater<>/LowerBound/First	2.600604	4.537011	+74.460	FAIL
Map/16/std::greater<>/LowerBound/Last	2.191791	1.739978	-20.614	PASS
Map/16/std::greater<>/LowerBound/MiddleHit	2.191874	3.136428	+43.093	FAIL
Map/16/std::greater<>/LowerBound/MiddleMiss	2.198222	3.143991	+43.024	FAIL
Map/16/std::greater<>/UpperBound/After	3.838508	1.740746	-54.650	PASS
Map/16/std::greater<>/UpperBound/Before	5.326109	3.477861	-34.702	PASS
Map/16/std::greater<>/UpperBound/First	2.972053	3.134414	+5.463	FAIL
Map/16/std::greater<>/UpperBound/Last	2.140005	1.392605	-34.925	PASS
Map/16/std::greater<>/UpperBound/MiddleHit	2.187586	2.437593	+11.428	FAIL
Map/16/std::greater<>/UpperBound/MiddleMiss	2.192724	2.437519	+11.164	FAIL
Map/16/std::less<>/IndexOf/After	1.043659	1.046697	+0.291	FAIL
Map/16/std::less<>/IndexOf/Before	2.520938	2.292220	-9.073	PASS
Map/16/std::less<>/IndexOf/First	3.159344	2.302260	-27.129	PASS
